Train Size,Train Loss,Validation Loss
44,0.00035709142684936523,0.017497368156909943
88,0.0004010321863461286,0.01668720878660679
132,0.00022180168889462948,0.040413979440927505
176,0.00016823735495563596,7.126526907086372e-05
220,0.0001411764824297279,0.0002462652628310025
264,0.00021888388437218964,8.13563892734237e-05
308,0.0002802467788569629,3.0403893106267788e-05
352,0.0002234546118415892,0.00016476305609103292
396,0.0002265127986902371,7.925038516987115e-05
441,0.0002457682276144624,3.676885899039917e-05
